datetime,users_sentiment_score
2/6/2019 0:00,-0.000745
2/6/2019 1:00,-0.099152
2/6/2019 2:00,0.054502
2/6/2019 3:00,0.062236
2/6/2019 4:00,0.049438
2/6/2019 5:00,0.050184
2/6/2019 6:00,0.002649
2/6/2019 7:00,0.026301
2/6/2019 8:00,-0.022051
2/6/2019 9:00,-0.012573
2/6/2019 10:00,-0.012265
2/6/2019 11:00,0.013907
2/6/2019 12:00,-0.022462
2/6/2019 13:00,-0.039446
2/6/2019 14:00,-0.002736
2/6/2019 15:00,-0.029604
2/6/2019 16:00,0.022578
2/6/2019 17:00,-0.005919
2/6/2019 18:00,-0.006468
2/6/2019 19:00,-0.00684
2/6/2019 20:00,-0.05754
2/6/2019 21:00,-0.00799
2/6/2019 22:00,-0.00843
2/6/2019 23:00,-0.00934
